$id	$permissions	$createdAt	$updatedAt	book	category	episode	fileName	uploaded_at	fileId	bookOrder	categoryOrder	updated_at	episodeOrder	users
68fe0fe00033a737dd06	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:11:13.471+00:00	2025-10-26T15:05:00.882+00:00	בראשית	תורה	תולדות	תורה-בראשית-תולדות.json	2025-02-20T13:51:04.316+00:00	67b733470009c1d5c0fa	1	1	null	6	null
68fe0fe30009da9deeec	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:11:15.702+00:00	2025-10-26T15:04:09.969+00:00	בראשית	תורה	ויצא	תורה-בראשית-ויצא.json	2025-02-20T13:51:32.470+00:00	67b7336300282c3c3602	1	1	null	6	null
68fe0fe500148d35f564	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:11:17.869+00:00	2025-10-26T15:03:29.487+00:00	בראשית	תורה	וישלח	תורה-בראשית-וישלח.json	2025-02-20T13:51:47.353+00:00	67b73372001b0f4fa978	1	1	null	11	null
68fe0fe9001efbf8d7c3	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:11:22.130+00:00	2025-10-26T12:11:22.130+00:00	תרי עשר	נביאים	יונה	נביאים-תרי עשר-יונה.json	2025-02-20T13:44:56.606+00:00	67b731d700285d28d61b	8	2	null	5	null
68fe0fed000750ab2457	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:11:25.657+00:00	2025-10-26T12:11:25.657+00:00	תרי עשר	נביאים	מיכה	נביאים-תרי עשר-מיכה.json	2025-02-20T13:45:19.207+00:00	67b731ee0011e0b4ae94	8	2	null	6	null
68fe0ff0000645b6fabb	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:11:28.734+00:00	2025-10-26T12:11:28.734+00:00	תרי עשר	נביאים	נחום	נביאים-תרי עשר-נחום.json	2025-02-20T13:45:40.712+00:00	67b732030037ba302097	8	2	null	7	null
68fe100b001a732d17fe	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:11:56.084+00:00	2025-10-26T12:11:56.084+00:00	תרי עשר	נביאים	חבקוק	נביאים-תרי עשר-חבקוק.json	2025-02-20T13:46:02.660+00:00	67b73219003230ec2210	8	2	null	8	null
68fe100f0005fb65a6b0	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:11:59.629+00:00	2025-10-26T12:11:59.629+00:00	הפטרות מיוחדות	תורה	הפטרות מיוחדות	תורה-הפטרות מיוחדות-הפטרות מיוחדות.json	2025-03-13T21:23:02.411+00:00	67d34caa0005ce3cb140	9	1	null	1	null
68fe101200064509e3f1	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:12:02.747+00:00	2025-10-26T12:12:02.747+00:00	תרי עשר	נביאים	צפניה	נביאים-תרי עשר-צפניה.json	2025-02-20T13:46:18.418+00:00	67b73229001c452aa73b	8	2	null	9	null
68fe10160006f71fe50d	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:12:06.645+00:00	2025-10-26T12:12:06.645+00:00	תרי עשר	נביאים	חגי	נביאים-תרי עשר-חגי.json	2025-02-20T13:46:53.604+00:00	67b7324c002846414d8a	8	2	null	10	null
